DateTime,Temperature,HighestTemp,L6B,HL6B,SL6B,CELL,Energy,Henergy
2014/1/1,17,20.5,3910,4743,4521,3763,73346,74850
2014/2/1,17,22.3,3801,4470,4497,3801,73220,74136
2014/3/1,19,24.7,3865,4774,4371,3802,73744,76412
2014/4/1,22,24.4,3775,4340,4244,3759,74675,76451
2014/5/1,24,28.3,3871,4717,4402,3837,76329,77693
2014/6/1,27,29.3,3857,4667,4533,3795,77636,79962
2014/7/1,29,30,3914,4650,4458,3850,79147,80117
2014/8/1,28,29.4,3871,4876,4526,3825,79156,80206
2014/9/1,28,31,3794,4608,4557,3740,79004,80797
2014/10/1,24,27.1,4028,4764,4619,3951,77259,79676
2014/11/1,22,24.7,3951,4650,4371,3964,76129,78859
2014/12/1,17,19.8,3439,4123,4092,3319,73510,75348
2015/1/1,17,20.3,4001,4495,4433,3947,74194,75252
2015/2/1,17,19.8,4061,4619,4464,3997,74671,75971
2015/3/1,18,24.5,3953,4515,4495,3812,75056,77815
2015/4/1,22,26.8,3989,4836,4464,3911,76590,78786
2015/5/1,25,28.1,3972,4402,4371,3956,78404,79886
2015/6/1,28,29.2,3957,4526,4340,3921,79492,80123
2015/7/1,28,29.4,3976,4557,4540,3861,80522,81767
2015/8/1,27,28.9,3922,4371,4278,3929,79443,80457
2015/9/1,26,27.8,4006,4588,4402,3997,78834,80240
2015/10/1,24,27.6,3975,4464,4402,3966,78334,79670
2015/11/1,23,26,3917,4991,4464,3831,77936,80000
2015/12/1,18,21.9,3861,4464,4402,3842,76409,78645
2016/1/1,16,20.2,3824,4464,4371,3826,75528,77688
2016/2/1,15,23.1,3915,4526,4342,3735,75524,77241
2016/3/1,16,21.9,3778,4526,4433,3645,76536,78245
2016/4/1,22,25.7,3942,4464,4433,3901,78755,80089
2016/5/1,25,28.2,3973,4401,4371,3911,80159,82187
2016/6/1,27,29.2,3998,4340,4309,3914,81216,82269
2016/7/1,28,29.4,4091,4495,4347,4087,81724,83442
2016/8/1,28,29.2,4133,4767,4626,4064,81791,83628
2016/9/1,26,27.8,4095,4408,4309,4115,81045,82324
2016/10/1,25,28.1,4107,4619,4449,4078,80369,81931
2016/11/1,21,24.3,4088,5022,4495,4050,79421,81830
2016/12/1,18,22.4,4107,4526,4495,4107,78825,80233
2017/1/1,17,20.6,3935,4774,4588,3861,77531,79624
2017/2/1,16,20.1,4166,4991,4619,4089,76986,78559
2017/3/1,16,21.1,4142,4622,4619,4116,77818,79616
2017/4/1,23,26.6,4581,4588,4530,4610,79126,81241
2017/5/1,24,26.3,4216,4588,4580,4203,80158,81652
2017/6/1,26,27.7,4230,4526,4501,4210,82128,84265
2017/7/1,27,28.8,4229,4890,4702,4255,81719,82614
2017/8/1,28,28.5,4196,4543,4495,4165,81645,82521
2017/9/1,27,28.6,4282,4580,4540,4271,81600,83130
2017/10/1,23,28.1,4281,4805,4416,4255,80192,81829
2017/11/1,20,24,4155,5064,5041,3952,78644,80266
2017/12/1,16,19.9,4225,5277,4867,4256,76546,77620
2018/1/1,15,19.6,4263,5318,5145,4135,76533,78075
2018/2/1,14,19.7,4299,4681,4613,4444,76293,77706
2018/3/1,18,22.3,4388,4874,4711,4416,77619,79303
2018/4/1,21,25.5,4441,5177,5130,4401,78791,80665
2018/5/1,25,27.5,4364,4681,4663,4375,80325,81866
2018/6/1,26,27.5,4303,4779,4712,4330,80444,81871
2018/7/1,27,28.6,4375,5105,4877,4304,81052,82248
2018/8/1,26,28.3,4372,4975,4789,4366,81391,81997
2018/9/1,25,28.7,4348,4867,4697,4322,81086,81989
2018/10/1,21,23.9,4310,5136,5115,4341,78778,79990
2018/11/1,20,23.5,4273,5053,4650,4245,78543,79941
2018/12/1,18,23.3,4333,5084,4991,4264,77086,78812
2019/1/1,17,19.9,4276,4929,4712,4287,76816,78246
2019/2/1,16,20.2,4332,4947,4687,4307,76957,78574
2019/3/1,18,23.3,4211,4898,4717,4041,76883,79242
2019/4/1,23,25.5,3932,4681,4603,4431,79303,80344
2019/5/1,22,26.8,4273,4991,4929,4143,78306,81277
2019/6/1,26,28,4220,5022,4774,4302,80038,81610
2019/7/1,27,28.8,4300,4991,4898,4262,80570,81877
2019/8/1,27,28.5,4203,4821,4650,4099,79254,81441
2019/9/1,25,27.9,3603,4001,3991,3973,75784,79340
2019/10/1,23,26.1,3366,4081,3989,3312,71221,73830
2019/11/1,20,22.6,4042,4295,4278,3857,71818,73444
2019/12/1,17,21.7,3857,4216,4115,3735,70729,72248
2020/1/1,16,20.2,3817,4558,4374,3581,69864,71920
2020/2/1,17,22.4,3906,4278,4193,3926,71158,73665
2020/3/1,18,24.4,3934,4960,4392,3587,71602,73844
2020/4/1,19,23.6,3992,4771,4488,3869,71108,72835
2020/5/1,24,26.8,4069,4510,4402,3933,73860,76063
2020/6/1,27,28.2,4040,5084,5025,3907,75054,76637
2020/7/1,28,28.9,4021,5316,4817,3943,75282,76844
